"ID","frac1000_1","frac1000_2","frac1000_3","frac1000_4","frac1000_5","frac1000_6","frac1000_7","frac1000_8","frac1000_9","frac1000_10","frac1000_11","frac1000_13","frac1000_15","frac1000_16","frac1000_19","frac1000_21","frac1000_22","frac1000_24","frac1000_25","frac1000_26","frac1000_27","frac1000_30","frac1000_31","frac1000_32","frac1000_33","frac1000_35","frac1000_36","frac1000_37","frac1000_38","frac1000_39","frac1000_40","frac1000_41","frac1000_43","frac1000_44","frac1000_48","frac1000_49","frac1000_50","frac1000_55","frac1000_56","frac1000_57","frac1000_58","frac1000_60","frac1000_63","frac1000_64","frac1000_67","frac1000_68","frac1000_70","frac1000_71","frac1000_72","frac1000_73","frac1000_74","frac1000_75","frac1000_76","frac1000_77","frac1000_78","frac1000_79","frac1000_80","frac1000_81","frac1000_82","frac1000_85","frac1000_86","frac1000_89","frac1000_90","frac1000_92","frac1000_93","frac1000_95","frac1000_96","frac1000_100","frac1000_102","frac1000_114","frac1000_115","frac1000_117","frac1000_123","frac1000_124","frac1000_125","frac1000_126","frac1000_130","frac1000_131","frac1000_133","frac1000_135","frac1000_136","frac1000_137","frac1000_138","frac1000_139","frac1000_141","frac1000_147","frac1000_151","frac1000_157","frac1000_158","frac1000_159","frac1000_160","frac1000_161","frac1000_162","frac1000_164","frac1000_168","frac1000_169","frac1000_170","frac1000_171","frac1000_172","frac1000_173","frac1000_174","frac1000_176","frac1000_177","frac1000_178","frac1000_179","frac1000_180","frac1000_181","frac1000_182","frac1000_183","frac1000_184","frac1000_185","frac1000_186","frac1000_187","frac1000_188","frac1000_189","frac1000_204","frac1000_205","frac1000_206","frac1000_207","frac1000_208","frac1000_210","frac1000_211","frac1000_212","frac1000_213","frac1000_214","frac1000_216","frac1000_217","frac1000_218","frac1000_219","frac1000_220","frac1000_221","frac1000_222","frac1000_223","frac1000_226","frac1000_228","frac1000_233","frac1000_234","frac1000_235","frac1000_237","frac1000_240","frac1000_242","frac1000_243","frac1000_244","frac1000_247","frac1000_248","frac1000_250","frac1000_254","frac1000_255","frac1000_257","frac1000_259","frac1000_261","frac1000_262","frac1000_263","frac1000_265","frac1000_266","frac1000_267","frac1000_273","frac1000_274","frac1000_275","frac1000_276","frac1000_279","frac1000_280","frac1000_281","frac1000_282","frac1000_283","frac1000_284","frac1000_285","frac1000_289","frac1000_291","frac1000_292","frac1000_293","frac1000_294","frac1000_296","frac1000_298","frac1000_301","frac1000_303","frac1000_304","frac1000_308","frac1000_309","frac1000_311","frac1000_312","frac1000_314","frac1000_315","frac1000_316","frac1000_319","frac1000_322","frac1000_323","frac1000_324","frac1000_325","frac1000_333","frac1000_337","frac1000_341","frac1000_346","frac1000_347","frac1000_348","frac1000_350","frac1000_351","frac1000_352","frac1000_353","frac1000_354","frac1000_360","frac1000_361","frac1000_363","frac1000_364","frac1000_411","frac1000_501","frac1000_502","frac1000_503","frac1000_504","frac1000_505","frac1000_507","frac1000_508","frac1000_509","frac1000_510","frac1000_515","frac1000_519","frac1000_520","frac1000_521","frac1000_522","frac1000_523","frac1000_524","frac1000_525","frac1000_526","frac1000_527","frac1000_528","frac1000_529","frac1000_537","frac1000_538","frac1000_540","frac1000_541","frac1000_545","frac1000_547","frac1000_548","frac1000_549","frac1000_550","frac1000_551","frac1000_554","frac1000_555","frac1000_556","frac1000_557","frac1000_558","frac1000_560","frac1000_564","frac1000_571","frac1000_572","frac1000_573","frac1000_574","frac1000_576","frac1000_577","frac1000_578","frac1000_579","frac1000_581","frac1000_582","frac1000_583","frac1000_584","frac1000_585","frac1000_586","frac1000_587","frac1000_589","frac1000_592","frac1000_593","frac1000_595","frac1000_596","frac1000_597","frac1000_598","frac1000_599","frac1000_600","frac1000_601","frac1000_602","frac1000_603","frac1000_604","frac1000_605","frac1000_606","frac1000_607","frac1000_608","frac1000_609","frac1000_610","frac1000_611","frac1000_612","frac1000_613","frac1000_614","frac1000_615","frac1000_616","frac1000_619","frac1000_620","frac1000_622","frac1000_623","frac1000_624","frac1000_625","frac1000_626","frac1000_627","frac1000_628","frac1000_629","frac1000_630","frac1000_632","frac1000_633","frac1000_635","frac1000_636","frac1000_637","frac1000_638","frac1000_639","frac1000_641","frac1000_642","frac1000_643","frac1000_644","frac1000_645","frac1000_1001","frac1000_1002","frac1000_1003","frac1000_1004","frac1000_1005","frac1000_1006","frac1000_1007","frac1000_1009","frac1000_1010"
"SEBIOPAG_VcG_T07_2020",23.33,0,0,0,2.57,8.16,3.19,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,17.23,0,0,0,0,0,0,0,0.84,0,0,0.31,0,0,0,0,0,0,0.58,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,3.82,3.4,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,9.22,0,0.17,6.62,3.08,0.04,0
"SEBIOPAG_VcG_T09_2020",8.97,0,0,0,0,7.17,0,0,0,3.48,0,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,11.1,0,0,0,0,0,3.63,0,1.22,0,0,0.06,0,0,0,0,0,0,1.33,0,0.48,0,0,0,0,3.43,0,0,0.52,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61,0,0,0,0,18.68,1.02,3.42,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,10.42,0,0.06,3.7,1.67,0,0
"SEBIOPAG_VcG_T10_2020",21.81,0,0,1.67,0.05,4.13,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,18.98,0,0,0,0,0,5.54,0,0,0,0,1.9,0,4.4,0,0,0,0,0.9,0,0.32,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,3.98,1.22,1.97,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,8.41,0,0.21,5.21,1.79,0.05,0.08
"SEBIOPAG_VcG_T11_2020",23.05,0,0,0,0,2.15,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.64,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,15.87,2.96,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,16,0,0.31,12.42,1.32,0.02,0
"SEBIOPAG_VcG_T12_2020",25.08,0,0,0,2.04,4.24,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,19.6,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,1.45,0.06,0.57,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0.54,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,0,0,0,0,5.04,1.02,0.91,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,9.37,0,0,2.91,2.32,0.01,0
"SEBIOPAG_VcG_T13_2020",12.9,0,0,2.65,0,0.29,0,0,0,6.51,0,0,0,0,0,2.45,0.75,0,0.89,0,0,0,0,0,0,0.79,0,1.29,0,0,0,6.16,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,5.31,0.55,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4.35,3.65,0.41,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.04,25.34,0,0.21,10.23,1.1,0.09,0.02
"SEBIOPAG_VcG_T14_2020",10.14,0,0,0,6.52,6.87,0,0.51,0,0.87,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,22.58,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0.28,0.47,1.18,0,0,0,2.95,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79,0,0,0,0,10.44,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.01,17.23,0,0.1,2.89,1.05,0,0
"SEBIOPAG_VcG_T15_2020",16.46,0,0,0,0.33,0,0,0,0,10.81,0,0,0,0,0,1.84,0.22,0,1.86,0.15,0,0,0,0,0,1.98,0.04,0,0,0,0,10.12,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,1.14,0.6,1.45,0,0,0,1.48,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0.53,0,7.02,0.76,3.13,1.63,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.01,21.68,0,0.23,3.53,1.08,0.02,0.01
"SEBIOPAG_VcG_T16_2020",11.67,0,0,0,0,8.65,4.15,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,2.45,0,0,0,22.7,0,0,0,0,0,8.35,0,1.46,0,0,0,0,0,0,0,0,0,1.03,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0.76,9.35,0.86,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0.02,6.51,0,0.25,7.66,2.98,0.24,0
"SEBIOPAG_VcG_T17_2020",17.13,0,0,0,0,2.5,4.92,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,27.05,0,0,0,0,0,8.03,0,0.25,0,0,0,0,0,0,0,0,0,1.22,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0.76,5.57,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0.03,10.3,0,0.56,6.87,2.91,0.28,0
"SEBIOPAG_VcG_T20_2020",8.92,0,0,12.97,0.06,3.64,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,1.62,0,0,0,0,0,0.07,0,0,0,0,0.81,0,0,0,0,0,0,0.06,0,0.2,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,4.13,5.55,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,19.08,0,0.01,3.65,0.88,0.02,0.02
"SEBIOPAG_VcG_T01_2021",14.27,0,0,0.74,0.83,5.95,0,1.08,0,0.03,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,7.66,0,6.23,0,0,0,0,0,9.76,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,2.74,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.02,0,0,0,11.84,2.79,1.68,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0.02,9.99,0,0.02,8.01,1.31,0,0
"SEBIOPAG_VcG_T02_2021",4.4,0,0,0,0,2.3,0.69,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.88,0,0,6.08,0,2.67,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,8.08,10.86,7.61,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.15,25.38,0,0.06,6.17,1.11,0.01,0.04
"SEBIOPAG_VcG_T03_2021",17.26,0,0,10.64,6.24,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,3.25,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,5.53,0.26,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0.17,20.48,0,0.05,7.46,1.21,0.02,0.39
"SEBIOPAG_VcG_T04_2021",4.3,0,0,0,0.92,0.57,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.55,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0.27,0.43,19.43,9.71,8.9,2.87,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0.01,22.03,0,0.07,7.5,0.53,0.01,0
"SEBIOPAG_VcG_T05_2021",37.2,0,0,0,4,0.71,0,0,0,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0,0,2.2,0,10.89,0,0,0,0,0,4.96,0,0.48,0,0,0,0,0,0,0,0,0,0,0.35,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,6.41,0.11,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,3.96,0,0.17,7.27,3.04,0.01,0
